Sl. No.,contact_name,inserted_at,pothole_duration_months,pothole_landmark_image,pothole_image,pothole_latlong,pothole_roadname,Ward,Zone
1,",",2021-01-21 20:16:54,ಗೊತ್ತಿಲ್ಲ,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/da9d7fc5-ae6b-4a8c-8c2b-345218656c86,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/625396bc-5cea-4793-b685-bc15b6b76254,"12.9519641,77.5210509",ರಿಂಗ್ ರೋಡ್ ಕ್ರಾಸ್,131,West
,**,2021-01-29 12:08:52,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ee833bc5-9f42-40e7-a711-b6cd0c6ee7b1,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/a0c1519d-622c-479a-b16a-fb3f702999e0,"12.856654, 77.563020",Anjanapurara 80 ft road,196,Bommanahalli
,~shalaj~,2021-01-18 17:07:39,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/d0a8146a-5e78-4fdc-8c9a-ece65e5877f0,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/0a5e859d-bc48-4d96-8ced-7f390cf3bed2,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/79a0ea6b-e08a-4db4-9b77-2adbebd3f05b,"13.0693069,77.6378646",Serenity Layout,6,Yelahanka
,~shalaj~,2021-01-29 22:30:26,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/b5d061dc-5a4c-409e-83da-6ab3d5abd334,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/4430d6b4-0d3d-4e20-8c6b-4d44163d43ba,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/2a23f70d-4596-4046-a01c-6afcaea950ac,"13.069326, 77.637830",Serenity Layout,6,Yelahanka
,👨‍👧,2021-01-21 21:00:43,60,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/8e997d9b-e0fe-40a8-8820-bb3d19ca59e8,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/8917d82e-f438-4f66-93bc-b95cfa1e1fcd,"12.8791512,77.5473488",Opposite KSIT college signal Raghuvinahalli road,198,Rajarajeswari Nagar
,🤝,2021-01-14 16:12:07,10,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/ce24f87b-754f-4cee-ada3-4d6abcc408b1,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/3bf9d861-1446-484a-a19c-0bb811339e6d,"12.871763, 77.662496",https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5bfc1a1e-837c-4d97-84ee-35bdf4aeee8e,191,Bommanahalli
,🤝,2021-01-14 15:59:43,12,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/11cf49e1-3341-4f9d-9c9a-f85b770cc77a,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/0313f7ba-2b8f-4103-aa7b-70961542eb37,"12.875828, 77.670166",https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/15a2a0d2-d20a-4f1a-8190-ebd1fc04a753,191,Bommanahalli
,🤝,2021-01-14 13:03:23,60,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/6f828827-ed73-4cd1-8550-768e312d2447,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/fdf7794e-7133-4954-b770-91dd3e6ae23e,"12.874046, 77.674265",rs money  house,191,Bommanahalli
,🤝,2021-01-14 12:58:55,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/5a4526f1-07c6-4bb7-baaf-3b55408f9df6,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/a3cd3adf-c50e-4ca8-85be-511fadb8d47c,"12.873001, 77.674983",raysandra road,191,Bommanahalli
,🤝,2021-01-14 12:54:32,24,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/d82bb741-38a2-4fb5-9a76-d0df07e41ed9,https://filemanager.gupshup.io/fm/wamedia/RBGlificAPI/c59c3628-de58-4e93-b18c-921067c5d437,"12.873369, 77.674843",2nd cross near gangadarapa shop,191,Bommanahalli
